Names	Uniprot
GRP170;HYOU1;ORP150;DKFZp686N08236	B7Z602
GRP170;HYOU1;ORP150;DKFZp686N08236	B7Z766
GRP170;HYOU1;ORP150;DKFZp686N08236	Q05D91
GRP170;HYOU1;ORP150;DKFZp686N08236	Q68D25
GRP170;HYOU1;ORP150;DKFZp686N08236	Q6IN67
GRP170;HYOU1;ORP150;DKFZp686N08236	Q9BST8
GRP170;HYOU1;ORP150;DKFZp686N08236	B7Z2N4
GCN1L1;KIAA0219	Q92616
GCN1L1;KIAA0219	B4DM32
C2orf2;EMAPL4;EML4	Q9HC35
C2orf2;EMAPL4;EML4	A6H8Y6
C2orf2;EMAPL4;EML4	B5MCW9
C2orf2;EMAPL4;EML4	B5MBZ0
C2orf2;EMAPL4;EML4	B4DIT9
C2orf2;EMAPL4;EML4	B5MD40
LIPHB;SCGB1D2	O95969
CAK;DDR1;EDDR1;NEP;NTRK4;PTK3A;RTK6;TRKE;DADB-160J14.2-018;DAMA-342O2.2-018;DAQB-11J22.3-018;XXbac-BCX105N19.2-018;XXbac-BPG70P20.1-018;DAMC-325F20.2-001;DADB-160J14.2-016;DAMA-342O2.2-016;DAMC-325F20.2-016;DAQB-11J22.3-016;XXbac-BCX105N19.2-016;XXbac-BPG70P20.1-016;DAMA-342O2.2-012;DAMC-325F20.2-012;DAQB-11J22.3-012;XXbac-BCX105N19.2-012;XXbac-BPG70P20.1-012	Q08345-5
CAK;DDR1;EDDR1;NEP;NTRK4;PTK3A;RTK6;TRKE;DADB-160J14.2-018;DAMA-342O2.2-018;DAQB-11J22.3-018;XXbac-BCX105N19.2-018;XXbac-BPG70P20.1-018;DAMC-325F20.2-001;DADB-160J14.2-016;DAMA-342O2.2-016;DAMC-325F20.2-016;DAQB-11J22.3-016;XXbac-BCX105N19.2-016;XXbac-BPG70P20.1-016;DAMA-342O2.2-012;DAMC-325F20.2-012;DAQB-11J22.3-012;XXbac-BCX105N19.2-012;XXbac-BPG70P20.1-012	Q08345
CAK;DDR1;EDDR1;NEP;NTRK4;PTK3A;RTK6;TRKE;DADB-160J14.2-018;DAMA-342O2.2-018;DAQB-11J22.3-018;XXbac-BCX105N19.2-018;XXbac-BPG70P20.1-018;DAMC-325F20.2-001;DADB-160J14.2-016;DAMA-342O2.2-016;DAMC-325F20.2-016;DAQB-11J22.3-016;XXbac-BCX105N19.2-016;XXbac-BPG70P20.1-016;DAMA-342O2.2-012;DAMC-325F20.2-012;DAQB-11J22.3-012;XXbac-BCX105N19.2-012;XXbac-BPG70P20.1-012	A2ABL4
CAK;DDR1;EDDR1;NEP;NTRK4;PTK3A;RTK6;TRKE;DADB-160J14.2-018;DAMA-342O2.2-018;DAQB-11J22.3-018;XXbac-BCX105N19.2-018;XXbac-BPG70P20.1-018;DAMC-325F20.2-001;DADB-160J14.2-016;DAMA-342O2.2-016;DAMC-325F20.2-016;DAQB-11J22.3-016;XXbac-BCX105N19.2-016;XXbac-BPG70P20.1-016;DAMA-342O2.2-012;DAMC-325F20.2-012;DAQB-11J22.3-012;XXbac-BCX105N19.2-012;XXbac-BPG70P20.1-012	Q08345-1
CAK;DDR1;EDDR1;NEP;NTRK4;PTK3A;RTK6;TRKE;DADB-160J14.2-018;DAMA-342O2.2-018;DAQB-11J22.3-018;XXbac-BCX105N19.2-018;XXbac-BPG70P20.1-018;DAMC-325F20.2-001;DADB-160J14.2-016;DAMA-342O2.2-016;DAMC-325F20.2-016;DAQB-11J22.3-016;XXbac-BCX105N19.2-016;XXbac-BPG70P20.1-016;DAMA-342O2.2-012;DAMC-325F20.2-012;DAQB-11J22.3-012;XXbac-BCX105N19.2-012;XXbac-BPG70P20.1-012	Q08345-2
